N,X,Y
1256,437111,3355338
1257,436887,3355398
1258,436296,3355365
1259,435215,3355266
1260,436019,3355436
1261,435362,3355450
1262,446852,3354994
1263,438956,3355338
1264,436369,3355498
1265,436039,3355535
1266,436938,3355596
1267,435732,3355487
1268,435909,3355605
1269,435573,3355650
1270,431011,3354991
1271,437672,3355423
1272,423277,3355018
1273,436966,3355730
1274,437190,3355755
1275,436992,3355808
1276,435643,3355758
1277,436536,3355762
1278,436090,3355764
1279,436649,3355812
1280,435889,3355880
1281,420258,3354880
1282,435720,3355905
1283,436568,3355917
1284,436013,3355967
1285,435745,3356041
1286,436036,3356047
1287,427063,3355484
1288,434249,3355346
1289,435780,3356155
1290,448264,3355443
1291,428690,3356105
1292,430959,3356302
1293,438190,3356242
1294,437301,3356549
1295,425207,3355818
1296,436806,3356612
1297,449050,3356050
1298,436246,3356812
1299,435394,3357016
1300,447232,3356524
1301,442720,3356535
1302,444033,3356556
1303,445694,3356535
1304,448131,3357543
1305,438007,3357770
1306,436092,3357925
1307,437382,3357825
1308,438597,3357820
1309,436837,3357850
1310,439281,3357965
1311,455568,3356533
1312,451430,3357584
1313,447254,3358272
1314,432446,3357488
1315,436652,3358772
1316,459157,3357324
1317,436692,3359144
1318,442666,3358788
1319,428821,3358374
1320,445019,3358737
1321,430484,3359234
1322,460918,3357237
1323,439419,3356535
1324,456138,3359295
1325,438982,3359004
1326,437697,3359240
1327,426074,3358672
1328,408237,3353652
1329,427201,3358446
1330,432731,3359672
1331,435847,3360234
1332,429412,3360210
1333,437957,3361064
1334,442372,3360320
1335,452523,3359973
1336,434643,3360868
1337,435423,3362072
1338,436727,3360769
1339,437292,3361829
1340,438807,3361124
1341,458438,3359669
1342,455981,3361920
1343,458090,3362716
1344,436092,3362744
1345,432145,3362523
1346,427447,3361926
1347,451953,3362624
1348,435292,3363181
1349,436951,3363478
1350,431462,3363414
1351,428611,3362473
1352,446411,3363309
1353,445501,3363162
1354,448222,3363054
1355,437259,3364493
1356,439275,3363297
1357,422826,3362028
1358,450123,3364478
1359,447422,3364448
1360,442558,3365097
1361,460073,3364068
1362,434614,3364596
1363,436039,3364291
1364,433622,3365486
1365,430112,3364684
1366,435184,3365792
1367,434354,3365884
1368,444535,3365488
1369,438133,3365530
1370,444935,3366044
1371,443953,3366807
1372,439994,3365727
1373,431523,3366399
1374,435057,3366449
1375,428571,3366675
1376,458472,3365278
1377,417878,3363886
1378,442983,3366986
1379,432060,3368134
1380,439838,3368432
1381,437805,3368063
1382,435727,3368689
1383,433254,3368456
1384,459794,3367781
1385,445295,3369534
1386,448871,3367679
1387,440204,3369948
1388,442895,3369218
1389,433390,3370414
1390,460465,3367966
1391,437119,3371108
1392,426729,3366602
1393,435343,3373149
1394,438725,3371200
1395,429234,3369222
1396,443183,3371802
1397,445760,3372379
1398,423472,3369408
1399,458225,3372749
1400,457990,3369230
1401,439610,3374090
1402,426234,3370494
1403,437018,3373539
1404,455809,3376060
1405,441943,3374625
1406,451479,3371386
1407,431419,3375527
1408,439855,3378879
1409,456762,3330639
1410,450690,3330780
1411,451779,3331681
1412,450662,3333778
1413,426743,3341256
1414,428234,3341437
1415,416320,3343495
1416,410870,3341849
1417,418925,3346742
1418,422996,3349152
1419,405260,3352498
1420,404216,3352095
1421,405860,3353488
1422,405050,3354423
1423,417144,3350684
1424,417277,3352266
1425,424941,3342720
1426,426675,3342131
1427,427827,3342981
1428,425025,3345122
1429,427671,3345195
1430,422205,3342550
1431,420530,3343500
1432,448524,3334230
1433,448201,3333938
1434,449548,3333948
1435,448866,3331638
1436,445301,3334430
1437,457942,3330937
1438,457509,3332058
1439,455583,3340619
1440,462092,3346992
1441,460978,3347054
1442,444013,3344629
1443,443235,3345504
1444,448086,3346986
1445,447153,3347388
1446,440804,3346977
1447,442619,3345019
1448,456598,3348711
1449,456685,3349791
1450,433235,3354146
1451,432529,3354197
1452,432870,3354800
1453,432623,3355473
1454,434592,3357823
1455,432848,3358122
1456,461762,3356131
1457,461096,3361384
1458,437420,3365780
1459,437568,3366306
1460,435408,3371539
1461,436020,3372290
1462,421052,3351836
1463,421761,3354053
1464,424203,3354385
1465,324158,3274690
1466,321230,3275876
1467,336241,3276743
1468,336279,3283268
1469,322550,3287266
1470,317270,3284852
1471,335751,3296016
1472,317836,3300203
1473,323418,3301032
1474,331681,3356148
1475,317323,3364720
1476,308716,3370032
1477,325631,3360080
1478,295334,3372338
1479,312249,3376083
1480,307220,3377195
1481,328235,3366491
1482,295292,3379297
1483,298639,3385925
1484,314770,3381685
1485,304472,3384187
1486,297164,3387867
1487,289816,3386174
1488,313824,3306447
1489,295435,3320181
1490,294388,3328618
1491,284361,3328114
1492,281799,3341846
1493,281954,3349116
1494,276619,3342624
1495,300650,3224706
1496,302271,3226154
1497,302364,3225881
